log10(x) x f_dokl f_obl blad_wzgledny
-7.3099999999999999999 4.8977881936844619591e-08 0.99999999999999988003 0.99999999999999988009 5.4210109e-20
-7.3000000000000000002 5.0118723362727228501e-08 0.9999999999999998744 0.99999999999999987445 5.4210109e-20
-7.29 5.1286138399136485554e-08 0.99999999999999986849 0.99999999999999986849 0
-7.2800000000000000002 5.2480746024977259737e-08 0.99999999999999986231 0.99999999999999986231 0
-7.27 5.3703179637025273089e-08 0.9999999999999998558 0.9999999999999998558 0
-7.2600000000000000002 5.495408738576245521e-08 0.99999999999999984902 0.99999999999999984897 5.4210109e-20
-7.25 5.6234132519034908038e-08 0.99999999999999984187 0.99999999999999984192 5.4210109e-20
-7.2399999999999999998 5.7543993733715693005e-08 0.99999999999999983444 0.99999999999999983444 0
-7.23 5.8884365535558896726e-08 0.99999999999999982664 0.99999999999999982664 0
-7.2199999999999999998 6.0255958607435774695e-08 0.99999999999999981845 0.9999999999999998185 5.4210109e-20
-7.21 6.1659500186148216633e-08 0.99999999999999980989 0.99999999999999980994 5.4210109e-20
-7.1999999999999999998 6.3095734448019324941e-08 0.99999999999999980094 0.99999999999999980094 0
-7.1900000000000000001 6.4565422903465551587e-08 0.99999999999999979156 0.99999999999999979162 5.4210109e-20
-7.1799999999999999998 6.606934480075960065e-08 0.99999999999999978175 0.99999999999999978175 0
-7.1700000000000000001 6.7608297539198177109e-08 0.99999999999999977145 0.99999999999999977145 0
-7.1599999999999999999 6.9183097091893648757e-08 0.99999999999999976066 0.99999999999999976072 5.4210109e-20
-7.1500000000000000001 7.0794578438413791083e-08 0.99999999999999974939 0.99999999999999974944 5.4210109e-20
-7.1399999999999999999 7.2443596007499006353e-08 0.99999999999999973762 0.99999999999999973762 0
-7.1300000000000000001 7.4131024130091751492e-08 0.99999999999999972521 0.99999999999999972526 5.4210109e-20
-7.1199999999999999999 7.5857757502918376878e-08 0.99999999999999971231 0.99999999999999971225 5.4210109e-20
-7.1100000000000000001 7.762471166286917339e-08 0.9999999999999996987 0.9999999999999996987 0
-7.0999999999999999999 7.9432823472428150205e-08 0.9999999999999996845 0.9999999999999996845 0
-7.0900000000000000001 8.1283051616409924656e-08 0.99999999999999966964 0.99999999999999966964 0
-7.0799999999999999999 8.3176377110267100615e-08 0.99999999999999965409 0.99999999999999965403 5.4210109e-20
-7.0700000000000000002 8.511380382023764678e-08 0.99999999999999963777 0.99999999999999963777 0
-7.0599999999999999999 8.7096358995608063753e-08 0.99999999999999962069 0.99999999999999962075 5.4210109e-20
-7.0500000000000000002 8.9125093813374552997e-08 0.99999999999999960286 0.99999999999999960286 0
-7.04 9.1201083935590974215e-08 0.9999999999999995841 0.9999999999999995841 0
-7.0300000000000000002 9.3325430079699104351e-08 0.99999999999999956453 0.99999999999999956448 5.4210109e-20
-7.02 9.5499258602143594975e-08 0.99999999999999954398 0.99999999999999954398 0
-7.0100000000000000002 9.7723722095581068269e-08 0.99999999999999952252 0.99999999999999952252 0
-7 9.9999999999999999998e-08 0.99999999999999950002 0.99999999999999949997 5.4210109e-20
-6.9899999999999999998 1.023292992280754131e-07 0.99999999999999947644 0.99999999999999947644 0
-6.98 1.0471285480508995335e-07 0.99999999999999945177 0.99999999999999945172 5.4210109e-20
-6.9699999999999999998 1.0715193052376064174e-07 0.99999999999999942591 0.99999999999999942591 0
-6.96 1.0964781961431850131e-07 0.99999999999999939886 0.99999999999999939892 5.4210109e-20
-6.9499999999999999998 1.1220184543019634356e-07 0.99999999999999937057 0.99999999999999937051 5.4210109e-20
-6.9400000000000000001 1.1481536214968827516e-07 0.99999999999999934086 0.99999999999999934091 5.4210109e-20
-6.9299999999999999998 1.1748975549395295417e-07 0.9999999999999993098 0.9999999999999993098 0
-6.9200000000000000001 1.2022644346174129059e-07 0.99999999999999927727 0.99999999999999927727 0
-6.9099999999999999999 1.2302687708123815343e-07 0.99999999999999924323 0.99999999999999924323 0
-6.9000000000000000001 1.2589254117941672104e-07 0.99999999999999920756 0.99999999999999920756 0
